name,Brand,Best Sellers Rank,weight,Laptop type,Laptop purpose,Screen Size,Hard Drive Size,Hard Drive Type,RAM speed,RAM size,RAM type,CPU,CPU rank,GPU,GPU performance,Optical Drive Type,Operating System,Number of USB 3.0 Ports,Number of USB 2.0 Ports,Date First Available,Customer Reviews,old_price,price
"samsung chromebook 4 (2021 model) 11.6"" intel uhd graphics 600, intel celeron processor n4020, 4gb, 32gb, wi-fi - (xe310xba-ka1us) (renewed) ",samsung,293.0,1.179340162,traditional,general,13.3,32.0,other,2.133,4.0,ddr4,intel celeron n4020,2521.0,intel uhd 600,1.8,No,chrome os,0.0,0.0,2021-06-26,4.2,139.99,100.0
"lenovo - chromebook 3 11"" chromebook - amd a6 - 4gb memory - 32gb emmc flash memory - onyx black ",lenovo,256.0,1.587573295,2 in 1,general,14.0,32.0,other,2.133,32.0,ddr,intel core i5 1140g7,2867.0,amd radeon r2,1.0,Yes,chrome os,2.0,0.0,2020-10-20,4.5,103.0,103.0
"newest flagship hp chromebook, 11.6"" hd (1366 x 768) display, intel celeron processor n3350, 4gb lpddr2, 32gb emmc, chrome os, hd graphics 500, 11a-nb0013dx, ash gray (renewed) ",hp,86.0,1.3562411863,traditional,general,14.0,32.0,hybrid,1.866,4.0,ddr,intel celeron n3350,2867.0,intel hd 500,1.7,No,chrome os,1.0,0.0,2020-09-23,4.2,118.0,106.0
"samsung 11.6"" hd chromebook, intel celeron processor up to 2.5ghz, 4gb ram, 32gb emmc ssd, chrome os (renewed) ",samsung,328.0,1.81436948,traditional,general,13.3,32.0,ssd,2.5,4.0,ddr4,intel core i5 1140g7,2521.0,intel hd ,0.9,No,chrome os,2.0,1.0,2021-08-30,4.4,109.0,109.0
"acer chromebook 512 laptop | intel celeron n4020 | 12"" hd+ display | intel uhd graphics 600 | 4gb lpddr4 | 32gb emmc | intel 9560 802.11ac gigabit wifi 5 | mil-std 810g | chrome os | cb512-c1kj ",acer,15.0,1.4016004233,traditional,general,14.0,512.0,ssd,2.8,4.0,lpddr4,intel celeron n4020,2521.0,intel uhd 605,1.7,No,chrome os,4.0,1.0,2021-11-23,4.5,199.99,115.0
"newest flagship hp chromebook, 11.6"" hd (1366 x 768) display, intel celeron processor n3350, 4gb lpddr2, 32gb emmc, chrome os, hd graphics 500, 11a-nb0013dx, ash gray ",hp,113.0,1.36077711,traditional,general,14.0,32.0,hybrid,1.866,4.0,ddr,intel celeron n3350,2867.0,intel hd 500,1.7,No,chrome os,0.0,1.0,2020-07-16,4.5,118.0,118.0
"asus chromebook 11.6"" cx22na-bcln4 ",asus,1035.0,0.997903214,traditional,general,15.3,512.0,ssd,2.7014444444444443,4.0,lpddr4,intel core i5 1140g7,2867.0,intel uhd 605,1.7,No,uninstalled,0.0,1.0,2020-05-27,4.3,119.0,119.0
"hp 14 inch hd chromebook, amd dual-core a processor, 4gb memory, 32gb emmc storage, wifi, webcam, chrome os-(renewed), gray ",hp,911.0,2.1500278338000003,traditional,general,14.0,512.0,ssd,2.69395,4.0,ddr4,intel core i5 1140g7,2867.0,intel uhd 605,1.7,Yes,chrome os,3.0,0.0,2021-10-17,3.7,119.0,119.0
"asus c423na chromebook 14"" hd laptop (intel dual core celeron processor n3350, 4gb ddr4 ram, 64gb ssd) webcam, wifi, bluetooth, type-c, google chrome os - silver (renewed) ",asus,133.0,1.406136347,traditional,general,15.3,64.0,ssd,2.7014444444444443,4.0,lpddr4,intel celeron n3350,2867.0,intel hd 500,1.7,No,chrome os,1.0,1.0,2019-09-17,4.1,299.99,120.0
"lenovo 14e chromebook 81mh0006us 14"" chromebook - 1920 x 1080 - a-series a4-9120 - 4 gb ram - 32 gb flash memory - chrome os - amd radeon r3 graphics - english (us) (renewed) ",lenovo,670.0,1.81436948,traditional,general,14.0,32.0,other,1.6,4.0,ddr4,intel core i5 1140g7,2867.0,amd radeon r3,1.3,No,chrome os,2.0,0.0,2019-10-18,4.3,238.9,120.0
"asus chromebook c403 rugged & spill resistant laptop, 14.0"" hd, 180 degree, intel celeron n3350 processor, 4gb ram, 32gb emmc, mil-std 810g durability, dark blue, education, chrome os, c403na-ws42-bl ",asus,12.0,1.451495584,traditional,general,15.3,32.0,ssd,2.69395,4.0,ddr4,intel celeron n3350,2867.0,intel uhd 605,1.3,No,chrome os,4.0,0.0,2022-02-10,4.1,269.99,121.0
"premium hp high performance 11.6in hd chromebook - intel dual-core celeron n3060 up to 2.48ghz, 4gb ddr3, 16gb emmc, 802.11bgn, bluetooth 4.0, usb 3.1, webcam, hdmi, chrome os (renewed) ",hp,542.0,1.1657323909,traditional,general,14.0,16.0,other,2.48,4.0,ddr4,intel celeron n3060,3327.0,intel hd 400,1.3,No,chrome os,1.0,1.0,2017-09-21,4.2,122.0,122.0
"new lenovo 3 chromebook 11.6"" hd (1366 x 768) laptop pc, intel celeron n4020 dual-core processor, 4gb ram, 32gb emmc, webcam, wifi, bluetooth, chrome os, onyx black (google classroom ready) ",lenovo,486.0,1.36077711,traditional,general,14.0,32.0,ssd,2.8,4.0,ddr4,intel celeron n4020,2521.0,intel iris 540,8.0,No,chrome os,0.0,1.0,2020-10-06,4.4,149.99,124.0
"2022 lenovo 14inch hd chromebook, arm cortex 6-core processor up to 2.0ghz, 4gb ddr4 memory, 32gb emmc ssd, super-fast 6th gen wifi, chrome os, darkblue(renewed) (dark blue) ",lenovo,863.0,1.81436948,traditional,general,14.0,32.0,ssd,2.69395,4.0,ddr4,intel core i5 1140g7,2626.0,intel uhd 605,0.9,No,chrome os,2.0,1.0,2022-09-03,5.0,125.0,125.0
"lenovo chromebook c340 2-in-1-11.6"" hd touchscreen - celeron n4000-4gb - 32gb emmc - gray (renewed) ",lenovo,268.0,1.2020197805,2 in 1,general,14.0,32.0,other,2.7014444444444443,4.0,lpddr4,intel celeron n4000,2626.0,intel hd ,0.9,No,chrome os,1.0,0.0,2020-07-21,4.4,186.99,125.0
